song,songLabel,release_date,performerLabel,nominatedLabel,awardLabel
http://www.wikidata.org/entity/Q38195325,S.U.S.,2017-01-01T00:00:00Z,Aygün Kazimova,,Golden Butterfly Award The Brightest Star of Azerbaijan
http://www.wikidata.org/entity/Q38195325,S.U.S.,2017-01-01T00:00:00Z,Aygün Kazimova,,Milli Dalğa Award
http://www.wikidata.org/entity/Q114704064,Q114704064,2017-01-01T00:00:00Z,Caetano Veloso,,Q51883034
http://www.wikidata.org/entity/Q114704064,Q114704064,2017-01-01T00:00:00Z,MC Beijinho,,Q51883034
http://www.wikidata.org/entity/Q114704064,Q114704064,2017-01-01T00:00:00Z,Filipe Escandurras,,Q51883034
http://www.wikidata.org/entity/Q29831974,Oh bah oui,2017-01-01T00:00:00Z,Booba,,platinum record
http://www.wikidata.org/entity/Q29831974,Oh bah oui,2017-01-01T00:00:00Z,Lacrim,,platinum record
http://www.wikidata.org/entity/Q61750478,Not a Love Song,2017-01-01T00:00:00Z,bülow,Juno Awards,
http://www.wikidata.org/entity/Q28132505,Shape of You,2017-01-06T00:00:00Z,Ed Sheeran,,Grammy Award for Best Pop Solo Performance
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,Grammy Award for Record of the Year,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,Grammy Award for Record of the Year,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,Grammy Award for Best Pop Duo/Group Performance,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,Grammy Award for Best Pop Duo/Group Performance,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,Grammy Award for Song of the Year,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,Grammy Award for Song of the Year,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,,Latin Grammy Award for Record of the Year
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,,Latin Grammy Award for Record of the Year
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,,Latin Grammy Award for Best Short Form Music Video
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,,Latin Grammy Award for Best Short Form Music Video
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,,Latin Grammy Award for Song of the Year
