song,songLabel,release_date,performerLabel,nominated,nominatedLabel,nomination_year,award,awardLabel,award_year
http://www.wikidata.org/entity/Q17151597,Vadelmavene,2014-04-04T00:00:00Z,Kasmir,,,,http://www.wikidata.org/entity/Q3194212,platinum record,
http://www.wikidata.org/entity/Q16326586,Stay with Me,2014-04-11T00:00:00Z,Sam Smith,,,,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,2015
http://www.wikidata.org/entity/Q60973212,Samaya samaya,2014-09-09T00:00:00Z,Egor Kreed,,,,http://www.wikidata.org/entity/Q112769562,Premiya RU.TV for Best Song,
http://www.wikidata.org/entity/Q19508151,Christine,2014-10-13T00:00:00Z,Christine and the Queens,,,,http://www.wikidata.org/entity/Q16682573,Victoire du vidéo-clip,
http://www.wikidata.org/entity/Q18301819,Something From Nothing,2014-10-17T00:00:00Z,Foo Fighters,http://www.wikidata.org/entity/Q1542182,Grammy Award for Best Rock Performance,,,,
http://www.wikidata.org/entity/Q18559542,Uptown Funk,2014-11-10T00:00:00Z,Bruno Mars,,,,http://www.wikidata.org/entity/Q223313,BRIT Awards,
http://www.wikidata.org/entity/Q18559542,Uptown Funk,2014-11-10T00:00:00Z,Mark Ronson,,,,http://www.wikidata.org/entity/Q223313,BRIT Awards,
http://www.wikidata.org/entity/Q18823031,Glory,2014-12-11T00:00:00Z,Common,,,,http://www.wikidata.org/entity/Q112243,Academy Award for Best Original Song,
http://www.wikidata.org/entity/Q18786541,Earned It,2014-12-23T00:00:00Z,The Weeknd,,,,http://www.wikidata.org/entity/Q5593863,Grammy Award for Best R&B Performance,
http://www.wikidata.org/entity/Q18786541,Earned It,2014-12-23T00:00:00Z,The Weeknd,http://www.wikidata.org/entity/Q19020,Academy Awards,,,,
http://www.wikidata.org/entity/Q55092587,Trymai,2015-01-01T00:00:00Z,Khrystyna Soloviy,,,,http://www.wikidata.org/entity/Q50808844,YUNA for Best Music Video,
http://www.wikidata.org/entity/Q19275263,Grande amore,2015-01-01T00:00:00Z,Il Volo,,,,http://www.wikidata.org/entity/Q84321390,Sanremo Music Festival award,
http://www.wikidata.org/entity/Q19310332,2080-luvulla,2015-02-13T00:00:00Z,Sanni Kurkisuo,,,,http://www.wikidata.org/entity/Q3194212,platinum record,
http://www.wikidata.org/entity/Q19822733,Ik heb een man gekend,2015-04-19T00:00:00Z,Yentl en de Boer,,,,http://www.wikidata.org/entity/Q2433511,Annie M.G. Schmidt Prize,
http://www.wikidata.org/entity/Q19856909,Maria Salvador,2015-04-24T00:00:00Z,J-Ax,,,,http://www.wikidata.org/entity/Q3194212,platinum record,
http://www.wikidata.org/entity/Q19851006,Stressed Out,2015-04-28T00:00:00Z,Twenty One Pilots,,,,http://www.wikidata.org/entity/Q1027880,Grammy Award for Best Pop Duo/Group Performance,
http://www.wikidata.org/entity/Q19851006,Stressed Out,2015-04-28T00:00:00Z,Twenty One Pilots,http://www.wikidata.org/entity/Q843219,Grammy Award for Record of the Year,,,,
http://www.wikidata.org/entity/Q20856833,Back to Back,2015-07-29T00:00:00Z,Drake,,,,http://www.wikidata.org/entity/Q41254,Grammy Awards,
http://www.wikidata.org/entity/Q20992398,Hotline Bling,2015-07-31T00:00:00Z,Drake,,,,http://www.wikidata.org/entity/Q1542172,Grammy Award for Best Melodic Rap Performance,
http://www.wikidata.org/entity/Q20962306,Writing's on the Wall,2015-09-25T00:00:00Z,Sam Smith,http://www.wikidata.org/entity/Q112243,Academy Award for Best Original Song,,,,
http://www.wikidata.org/entity/Q20962306,Writing's on the Wall,2015-09-25T00:00:00Z,Sam Smith,http://www.wikidata.org/entity/Q1472235,Golden Globe Award for Best Original Song,,,,
http://www.wikidata.org/entity/Q108033921,Shin Takarajima,2015-09-30T00:00:00Z,Sakanaction,http://www.wikidata.org/entity/Q795586,MTV Video Music Awards Japan,,,,
http://www.wikidata.org/entity/Q57836536,Hello,2015-10-23T00:00:00Z,Adele,,,,http://www.wikidata.org/entity/Q843219,Grammy Award for Record of the Year,
http://www.wikidata.org/entity/Q57836536,Hello,2015-10-23T00:00:00Z,Adele,,,,http://www.wikidata.org/entity/Q48816647,Brit Award for British Single of the Year,
http://www.wikidata.org/entity/Q28830025,My Name Is Human,2016-01-01T00:00:00Z,Highly Suspect,http://www.wikidata.org/entity/Q41254,Grammy Awards,,,,
http://www.wikidata.org/entity/Q85131541,Roses,2016-01-01T00:00:00Z,Saint Jhn,,,,http://www.wikidata.org/entity/Q1542169,"Grammy Award for Best Remixed Recording, Non-Classical",2021
http://www.wikidata.org/entity/Q22662704,My Church,2016-01-19T00:00:00Z,Maren Morris,http://www.wikidata.org/entity/Q5593789,Grammy Award for Best Country Song,2017,,,
http://www.wikidata.org/entity/Q22704382,Un giorno mi dirai,2016-02-10T00:00:00Z,Stadio,,,,http://www.wikidata.org/entity/Q84321390,Sanremo Music Festival award,
http://www.wikidata.org/entity/Q20992398,Hotline Bling,2016-05-06T00:00:00Z,Drake,,,,http://www.wikidata.org/entity/Q1542172,Grammy Award for Best Melodic Rap Performance,
http://www.wikidata.org/entity/Q27830742,Ahnma,2016-06-03T00:00:00Z,Gentleman,,,,http://www.wikidata.org/entity/Q55853656,Preis für Popkultur,
http://www.wikidata.org/entity/Q27830742,Ahnma,2016-06-03T00:00:00Z,Beginner,,,,http://www.wikidata.org/entity/Q55853656,Preis für Popkultur,
http://www.wikidata.org/entity/Q27830742,Ahnma,2016-06-03T00:00:00Z,Gzuz,,,,http://www.wikidata.org/entity/Q55853656,Preis für Popkultur,
http://www.wikidata.org/entity/Q24664844,Heathens,2016-06-16T00:00:00Z,Twenty One Pilots,http://www.wikidata.org/entity/Q1542182,Grammy Award for Best Rock Performance,,,,
http://www.wikidata.org/entity/Q29949670,Q29949670,2016-09-22T00:00:00Z,Kong Huayrai,,,,http://www.wikidata.org/entity/Q13019451,Nataraj Awards for Best Drama Music,
http://www.wikidata.org/entity/Q38195325,S.U.S.,2017-01-01T00:00:00Z,Aygün Kazimova,,,,http://www.wikidata.org/entity/Q71818789,Golden Butterfly Award The Brightest Star of Azerbaijan,
http://www.wikidata.org/entity/Q38195325,S.U.S.,2017-01-01T00:00:00Z,Aygün Kazimova,,,,http://www.wikidata.org/entity/Q106314769,Milli Dalğa Award,
http://www.wikidata.org/entity/Q114704064,Q114704064,2017-01-01T00:00:00Z,Caetano Veloso,,,,http://www.wikidata.org/entity/Q51883034,Q51883034,
http://www.wikidata.org/entity/Q114704064,Q114704064,2017-01-01T00:00:00Z,MC Beijinho,,,,http://www.wikidata.org/entity/Q51883034,Q51883034,
http://www.wikidata.org/entity/Q114704064,Q114704064,2017-01-01T00:00:00Z,Filipe Escandurras,,,,http://www.wikidata.org/entity/Q51883034,Q51883034,
http://www.wikidata.org/entity/Q29831974,Oh bah oui,2017-01-01T00:00:00Z,Booba,,,,http://www.wikidata.org/entity/Q3194212,platinum record,
http://www.wikidata.org/entity/Q29831974,Oh bah oui,2017-01-01T00:00:00Z,Lacrim,,,,http://www.wikidata.org/entity/Q3194212,platinum record,
http://www.wikidata.org/entity/Q61750478,Not a Love Song,2017-01-01T00:00:00Z,bülow,http://www.wikidata.org/entity/Q507057,Juno Awards,,,,
http://www.wikidata.org/entity/Q28132505,Shape of You,2017-01-06T00:00:00Z,Ed Sheeran,,,,http://www.wikidata.org/entity/Q5593866,Grammy Award for Best Pop Solo Performance,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,http://www.wikidata.org/entity/Q843219,Grammy Award for Record of the Year,2018,,,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,http://www.wikidata.org/entity/Q843219,Grammy Award for Record of the Year,2018,,,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,http://www.wikidata.org/entity/Q1027880,Grammy Award for Best Pop Duo/Group Performance,2018,,,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,http://www.wikidata.org/entity/Q1027880,Grammy Award for Best Pop Duo/Group Performance,2018,,,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,2018,,,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,2018,,,
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,,,,http://www.wikidata.org/entity/Q3827469,Latin Grammy Award for Record of the Year,2017
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,,,,http://www.wikidata.org/entity/Q3827469,Latin Grammy Award for Record of the Year,2017
