index,title,title_url,written_by,written_by_url,originally_by,originally_by_url,covers,adaptations
2308,Fool's Gold,https://secondhandsongs.com/work/176723,"MoZella, Jamie Scott, Liam Payne, Louis Tomlinson, Niall Horan, Harry Styles, Zayn","https://secondhandsongs.com/artist/73921, https://secondhandsongs.com/artist/74982, https://secondhandsongs.com/artist/75322, https://secondhandsongs.com/artist/75323, https://secondhandsongs.com/artist/86740, https://secondhandsongs.com/artist/86741, https://secondhandsongs.com/artist/97317",One Direction,https://secondhandsongs.com/artist/67602,2,0
2309,Walkashame,https://secondhandsongs.com/work/177375,"Kevin Kadish, Meghan Trainor","https://secondhandsongs.com/artist/12379, https://secondhandsongs.com/artist/86752",Meghan Trainor,https://secondhandsongs.com/artist/86752,2,0
2310,Love Came Down,https://secondhandsongs.com/work/177437,"Jeremy Edwardson, Brian Johnson [US2], Jenn Johnson, Ian McIntosh, Jeremy Riddle","https://secondhandsongs.com/artist/122471, https://secondhandsongs.com/artist/122472, https://secondhandsongs.com/artist/122473, https://secondhandsongs.com/artist/122474, https://secondhandsongs.com/artist/122475",Kari Jobe,https://secondhandsongs.com/artist/121700,2,0
2311,See You Again,https://secondhandsongs.com/work/177459,"Carrie Underwood, David Hodges, Hillary Lindsey","https://secondhandsongs.com/artist/18335, https://secondhandsongs.com/artist/41184, https://secondhandsongs.com/artist/70869",Carrie Underwood,https://secondhandsongs.com/artist/18335,2,0
2312,18,https://secondhandsongs.com/work/183164,"Ed Sheeran, Oliver Frank","https://secondhandsongs.com/artist/63462, https://secondhandsongs.com/artist/127778",One Direction,https://secondhandsongs.com/artist/67602,2,0
2313,Semi-Automatic,https://secondhandsongs.com/work/183609,Tyler Joseph,https://secondhandsongs.com/artist/98563,Twenty One Pilots,https://secondhandsongs.com/artist/98562,2,0
2314,Tsunami,https://secondhandsongs.com/work/184307,"KSHMR, John Borger, Alex van den Hoef, Chris van den Hoef","https://secondhandsongs.com/artist/102148, https://secondhandsongs.com/artist/128621, https://secondhandsongs.com/artist/128623, https://secondhandsongs.com/artist/128624",DVBBS & Borgeous,https://secondhandsongs.com/artist/128621+128625,2,0
2315,Home,https://secondhandsongs.com/work/187200,Ingrid Michaelson,https://secondhandsongs.com/artist/46180,Ingrid Michaelson,https://secondhandsongs.com/artist/46180,2,0
2316,The City,https://secondhandsongs.com/work/187202,"George Daniel, Adam Hann, Matthew Healy, Ross MacDonald","https://secondhandsongs.com/artist/75937, https://secondhandsongs.com/artist/75938, https://secondhandsongs.com/artist/75939, https://secondhandsongs.com/artist/75940",The 1975,https://secondhandsongs.com/artist/74937,2,0
2317,So Alive,https://secondhandsongs.com/work/187218,"John Rzeznik, Gregg Wattenberg, Derek Fuhrmann","https://secondhandsongs.com/artist/27257, https://secondhandsongs.com/artist/53552, https://secondhandsongs.com/artist/74243",Goo Goo Dolls,https://secondhandsongs.com/artist/2185,2,0
2318,Brand New,https://secondhandsongs.com/work/190070,Pharrell Williams,https://secondhandsongs.com/artist/11817,Pharrell Williams with Justin Timberlake,https://secondhandsongs.com/artist/11817+12784,2,0
2319,Waking Light,https://secondhandsongs.com/work/190080,Beck,https://secondhandsongs.com/artist/7561,Beck,https://secondhandsongs.com/artist/7561,2,0
2320,Blue Moon,https://secondhandsongs.com/work/190081,Beck,https://secondhandsongs.com/artist/7561,Beck,https://secondhandsongs.com/artist/7561,2,0
2321,Lonely Weekend,https://secondhandsongs.com/work/190083,"Kacey Musgraves, Daniel Tashian, Ian Fitchuk","https://secondhandsongs.com/artist/73467, https://secondhandsongs.com/artist/118330, https://secondhandsongs.com/artist/132685",Kacey Musgraves,https://secondhandsongs.com/artist/73467,2,0
2322,Space Cowboy,https://secondhandsongs.com/work/190085,"Kacey Musgraves, Luke Laird, Shane McAnally","https://secondhandsongs.com/artist/73467, https://secondhandsongs.com/artist/80203, https://secondhandsongs.com/artist/80204",Kacey Musgraves,https://secondhandsongs.com/artist/73467,2,0
2323,Love Is a Wild Thing,https://secondhandsongs.com/work/190086,"Kacey Musgraves, Daniel Tashian, Ian Fitchuk","https://secondhandsongs.com/artist/73467, https://secondhandsongs.com/artist/118330, https://secondhandsongs.com/artist/132685",Kacey Musgraves,https://secondhandsongs.com/artist/73467,2,0
